Stations,Nom Japonais,Adresse,Lien google map
Kawaguchiko (bus),河口湖駅 バスきっぷ売場,日本、〒401-0301 山梨県南都留郡富士河口湖町船津河口湖駅,"https://www.google.com/maps/search/?api=1&query=35.4983148,138.7685537&query_place_id=ChIJazsmHQBhGWARSnjFN9H1zJM"
Tokyo Station (bus),JRバス 東京駅高速バスターミナル,日本、〒100-0005 東京都千代田区丸の内１丁目９−９−１,"https://www.google.com/maps/search/?api=1&query=35.6793291,139.767703&query_place_id=ChIJYZ-effuLGGARC-1o1s1I6kE"
Kyoto (bus),Sky Hop Bus Kyoto (Hop On & Hop Off),日本、〒600-8216 京都府京都市下京区東塩小路町,"https://www.google.com/maps/search/?api=1&query=34.9866568,135.7580028&query_place_id=ChIJNVfn-vQJAWARwxMBLJywjWM"
Shirakawago (bus),白川郷バスターミナル,日本、〒501-5627 岐阜県大野郡白川村荻町１０８６,"https://www.google.com/maps/search/?api=1&query=36.2619463,136.9068852&query_place_id=ChIJKx0Jc79x-F8RdUi6Khf_-Is"
Kanazawa (bus),金沢駅,日本、〒920-0858 石川県金沢市木ノ新保町２,"https://www.google.com/maps/search/?api=1&query=36.5780433,136.648941&query_place_id=ChIJVUtsAWoz-F8R1yQknquvQlE"
Takayama (bus),高山濃飛バスセンター,日本、〒506-0026 岐阜県高山市花里町６丁目１２５,"https://www.google.com/maps/search/?api=1&query=36.1418655,137.2514119&query_place_id=ChIJQccNUii7AmARZguszf-B888"
Mishima (bus),三島駅南口,日本、〒411-0036 静岡県三島市一番町１６,"https://www.google.com/maps/search/?api=1&query=35.125769,138.911931&query_place_id=ChIJ16Gp5YSaGWARdGQBBaOKyro"
Shin-Aomori (bus),新青森駅,日本、〒038-0003 青森県青森市石江２丁目,"https://www.google.com/maps/search/?api=1&query=40.8281026,140.6948726&query_place_id=ChIJZS80Tkmfm18RUSzziZRcqzo"
Matsumoto (bus),松本バスターミナル,"〒390-0815 日本, １丁目-２-30 深志 松本市 長野県 390-0815 日本","https://www.google.com/maps/search/?api=1&query=36.2300736,137.9663115&query_place_id=ChIJM-oViIsOHWARrwVaFgN-uBw"
Shinjuku (bus),バスタ新宿,日本、〒151-0051 東京都渋谷区千駄ケ谷５丁目２４−５５,"https://www.google.com/maps/search/?api=1&query=35.6884586,139.7007051&query_place_id=ChIJ94ZOcEyNGGARmtjvWVPSgsg"
Hakata (bus),博多バスターミナル,日本、〒812-0012 福岡県福岡市博多区博多駅中央街２,"https://www.google.com/maps/search/?api=1&query=33.5914845,130.4198202&query_place_id=ChIJabfbu8eRQTURVSgaSgJdHZE"
Kamikochi (bus),K-30 上高地バスターミナル,日本、〒390-1516 長野県松本市安曇,"https://www.google.com/maps/search/?api=1&query=36.24610000000001,137.6353&query_place_id=ChIJrwOfG9hFHWARx5KqLNGqtWU"
Osaka (bus),大阪バス（株）,日本、〒577-0065 大阪府東大阪市高井田中３丁目６−２１,"https://www.google.com/maps/search/?api=1&query=34.6737828,135.5709799&query_place_id=ChIJqxFhX9DfAGAR2Eg5TITFAS0"
Nijigen no Mori (bus),ニジゲンノモリ（バス）,日本、〒656-2401 兵庫県淡路市岩屋,"https://www.google.com/maps/search/?api=1&query=34.5802366,135.0131332&query_place_id=ChIJDdr2y72CAGARIla4ZauRado"
Sendai (bus),宮城交通㈱ 仙台高速バスセンター,日本、〒980-0021 宮城県仙台市青葉区中央１丁目６−３５ １F,"https://www.google.com/maps/search/?api=1&query=38.2627543,140.8798255&query_place_id=ChIJSwtWyCMoil8R9AHZULDmhtk"
Ogisawa (bus),扇沢,日本、〒398-0001 長野県大町市平,"https://www.google.com/maps/search/?api=1&query=36.5587133,137.7207437&query_place_id=ChIJ5R3OeW3e918RJMKBx74ckgE"
Dentetsu Toyama (bus),富山駅前,日本、〒930-0001 富山県富山市明輪町１,"https://www.google.com/maps/search/?api=1&query=36.70058119999999,137.2136459&query_place_id=ChIJtya1nJyQ918RJSxTpan-wyY"
Kusatsu Onsen (bus),草津温泉バスターミナル,日本、〒377-1711 群馬県吾妻郡草津町草津２８,"https://www.google.com/maps/search/?api=1&query=36.6207895,138.5964171&query_place_id=ChIJid9Q0h_nHWARrPdwP7bCYSQ"
Hiroshima (bus),広島バスセンター,日本、〒730-0011 広島県広島市中区基町６,"https://www.google.com/maps/search/?api=1&query=34.396309,132.455915&query_place_id=ChIJLRys-AuiWjUR2gZszJ1_I8I"
Fuji-Q Highland Resort (bus),富士急ハイランド バスステーション,日本、〒403-0017 山梨県富士吉田市新西原５丁目６−５５９７−４,"https://www.google.com/maps/search/?api=1&query=35.4845555,138.7767335&query_place_id=ChIJxRX_1pRgGWARux6dV6-td4Y"
Sawando Iwamidaira (bus),さわんどバスターミナル,日本、〒390-1520 長野県松本市安曇４４６６−５２,"https://www.google.com/maps/search/?api=1&query=36.1647248,137.6559157&query_place_id=ChIJUSA7Uu04HWARfF4Ry63Rp44"
Shibuya (bus),SHIBUYA STREET RIDE - Open Top Bus Tour,日本、〒150-0043 東京都渋谷区道玄坂１丁目２−２ 渋谷フクラス 1階 9番バスのりば,"https://www.google.com/maps/search/?api=1&query=35.6576545,139.7003114&query_place_id=ChIJE3tIWMuLGGAR0n4aBQdvdWs"
Ikebukuro (bus),WILLER EXPRESS(株) 池袋営業所,日本、〒171-0021 東京都豊島区西池袋２丁目３０−２０ 音羽ビル 403,"https://www.google.com/maps/search/?api=1&query=35.7273989,139.707113&query_place_id=ChIJp-4hnDONGGARXwf4aj2lQ3I"
Uno (bus),宇野自動車株式会社,日本、〒700-0822 岡山県岡山市北区表町２丁目３−１８,"https://www.google.com/maps/search/?api=1&query=34.6614594,133.9300873&query_place_id=ChIJTf0v5DMGVDUReelpT17leqE"
Naoshima (bus),本村ラウンジ＆アーカイブ,日本、〒761-3110 香川県香川郡直島町８５０−２,"https://www.google.com/maps/search/?api=1&query=34.4610303,133.9972582&query_place_id=ChIJJVhc3cPxUzURFxuKoha37ak"
Okayama (bus),岡山駅西口バスセンター,日本、〒700-0024 岡山県岡山市北区駅元町１１−１０１７−３,"https://www.google.com/maps/search/?api=1&query=34.6670247,133.9173592&query_place_id=ChIJl7j_zE0GVDUR6kjj3zGZ2z4"
Nakatsugawa (bus),中津川駅前,日本、〒508-0032 岐阜県中津川市栄町２,"https://www.google.com/maps/search/?api=1&query=35.500783,137.5038483&query_place_id=ChIJyfo7PEm0HGARPcDPILxSEIk"
Nagano (bus),アルピコ交通(株) 長野駅前案内所,日本、〒380-0825 長野県長野市南長野末広町１３５５−５,"https://www.google.com/maps/search/?api=1&query=36.6435341,138.1869837&query_place_id=ChIJ5SEdJ5OGHWARyjHm6TuPnSk"
Hakuba (bus),八方インフォメーションセンター／白馬八方バスターミナル,日本、〒399-9301 長野県北安曇郡白馬村北城 大字北城八方5734-1,"https://www.google.com/maps/search/?api=1&query=36.701586,137.8457306&query_place_id=ChIJhda7bf3N918Ra1-RQSZAbXY"
Nagoya (bus),名鉄バスセンター,日本、〒450-0002 愛知県名古屋市中村区名駅１丁目２−４,"https://www.google.com/maps/search/?api=1&query=35.1685806,136.8841664&query_place_id=ChIJVVVV4t12A2ARuGHeruHGtx8"
Fukuyama (bus),福山駅前,日本、〒720-0066 広島県福山市三之丸町３０,"https://www.google.com/maps/search/?api=1&query=34.4880511,133.3627347&query_place_id=ChIJ26TUq-QQUTURDlTLQ5wYnVM"
Gotemba (bus),御殿場プレミアム・アウトレット,日本、〒412-0023 静岡県御殿場市深沢,"https://www.google.com/maps/search/?api=1&query=35.3075833,138.962195&query_place_id=ChIJdc57Dt91GWAR9dap6hpK-Q0"
Morioka (bus),盛岡バスセンター,日本、〒020-0871 岩手県盛岡市中ノ橋通１丁目９,"https://www.google.com/maps/search/?api=1&query=39.6996417,141.157345&query_place_id=ChIJv3fR-mp3hV8Rknab7Kww9Aw"
Shimo Yoshida (bus),中央道下吉田,日本、〒403-0009 山梨県富士吉田市富士見２丁目９,"https://www.google.com/maps/search/?api=1&query=35.5020389,138.808599&query_place_id=ChIJLeT800hnGWARoUCGurrfWjA"
Mont Koya (bus),高野山駅,日本、〒648-0211 和歌山県伊都郡高野町高野山,"https://www.google.com/maps/search/?api=1&query=34.2277131,135.5774856&query_place_id=ChIJDYS6XqMnB2ARgq8qUS5Gv14"
Yunomine Onsen (bus),湯の峰温泉（バス）,日本、〒647-1732 和歌山県田辺市本宮町湯峯,"https://www.google.com/maps/search/?api=1&query=33.828806,135.757433&query_place_id=ChIJgSQzOwRaBmARp-qL5wqIKT4"
Awaji IC (bus),淡路ＩＣ（バス）,日本、〒656-2401 兵庫県淡路市岩屋,"https://www.google.com/maps/search/?api=1&query=34.582715,135.015926&query_place_id=ChIJRb8yMb6CAGARJ25b_5fkj08"
Ichinoseki (bus),一関バスセンター,日本、〒021-0867 岩手県一関市駅前２,"https://www.google.com/maps/search/?api=1&query=38.92591940000001,141.1369119&query_place_id=ChIJfbJp6hrbiF8RD5duEByVKFI"
Shin-Hakodate-Hokuto (bus),新函館北斗駅,日本、〒041-1242 北海道北斗市市渡１丁目１,"https://www.google.com/maps/search/?api=1&query=41.9043,140.6472&query_place_id=ChIJrRrv1_D4nl8RfkztkY1otM0"
Hirayu Onsen (bus),平湯バスターミナル,日本、〒506-1433 岐阜県高山市奥飛騨温泉郷平湯６２８ 平湯バスターミナル,"https://www.google.com/maps/search/?api=1&query=36.190972,137.5520198&query_place_id=ChIJ2aD6d-9JHWAR_vidk3Rjc4s"
Gero (bus),下呂温泉合掌村,日本、〒509-2202 岐阜県下呂市森２３６９,"https://www.google.com/maps/search/?api=1&query=35.8083288,137.2496949&query_place_id=ChIJsVLue8rbAmARKqH1M8WxzhU"
Magome (bus),馬籠,日本、〒508-0502 岐阜県中津川市馬籠,"https://www.google.com/maps/search/?api=1&query=35.5246637,137.565399&query_place_id=ChIJP0SUNv22HGARPdziEQS2Ysg"
Mishima Sortie Nord (bus),三島駅北口（バス）,日本、〒411-0033 静岡県三島市文教町１丁目８,"https://www.google.com/maps/search/?api=1&query=35.127591,138.910559&query_place_id=ChIJxfVnUYWaGWAR0MZAlTBwlkI"
Kumamoto (bus),桜町バスターミナル,日本、〒860-0805 熊本県熊本市中央区桜町３ 3番10号,"https://www.google.com/maps/search/?api=1&query=32.8002793,130.7034127&query_place_id=ChIJiXkGAm30QDURZZHHaSUiCbQ"
Kurokawa Onsen (bus),黒川温泉,日本、〒869-2402 熊本県阿蘇郡南小国町満願寺,"https://www.google.com/maps/search/?api=1&query=33.0756361,131.1443936&query_place_id=ChIJh1JeM-owQTUR-Swa4eL1kyo"
Gotemba Premium Outlets (bus),御殿場プレミアム・アウトレット,日本、〒412-0023 静岡県御殿場市深沢,"https://www.google.com/maps/search/?api=1&query=35.3075833,138.962195&query_place_id=ChIJdc57Dt91GWAR9dap6hpK-Q0"
Shinano-Omachi (bus),扇沢,日本、〒398-0001 長野県大町市平,"https://www.google.com/maps/search/?api=1&query=36.5591684,137.721025&query_place_id=ChIJVYHXfm3e918RrxbNk9iViLM"
Snow Monkey park (bus),スノーモンキーパークバス待合所,日本、〒381-0401 長野県下高井郡山ノ内町平穏,"https://www.google.com/maps/search/?api=1&query=36.7275083,138.4440596&query_place_id=ChIJKSooUYPzHWARkl2bSXfLjq4"
