Nom premier hôtel,Phone number,Google maps link,Adresse
The Tourist Hotel & Cafe Akihabara,03-6806-0308,https://maps.google.com/?cid=1362432029353315237,"1-chōme-6-6 Taitō, Taito City, Tokyo 110-0016, Japan"
Asakusa View Hotel Annex Rokku,0570-003-235,https://maps.google.com/?cid=16266720147423180527,"2-chōme-9-10 Asakusa, Taito City, Tokyo 111-0032, Japan"
OMO3 Tokyo Akasaka by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=5458771663436051778,"4-chōme-3-2 Akasaka, Minato City, Tokyo 107-0052, Japan"
"HOTEL GROOVE SHINJUKU, A PARKROYAL Hotel",03-6233-8888,https://maps.google.com/?cid=13938664711029483214,"東急歌舞伎町タワ, 1-chōme-29-1 Kabukichō, Shinjuku City, Tokyo 160-0021, Japan"
The Blossom Hibiya,03-3591-8702,https://maps.google.com/?cid=6461953290758206689,"1-chōme-1-13 Shinbashi, Minato City, Tokyo 105-0004, Japan"
Hotel Metropolitan Tokyo Ikebukuro,03-3980-1111,https://maps.google.com/?cid=1669693716906684867,"1-chōme-6-1 Nishiikebukuro, Toshima City, Tokyo 171-8505, Japan"
Keio Plaza Hotel Tokyo PremierGrand,03-3344-0111,https://maps.google.com/?cid=15123209713363761362,"2-chōme-2-1 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
Richmond Hotel Premier Asakusa,03-5806-3155,https://maps.google.com/?cid=14638168679095614495,"2-chōme-6-7 Asakusa, Taito City, Tokyo 111-0032, Japan"
The Knot Tokyo Shinjuku,03-3375-6511,https://maps.google.com/?cid=3571431522569493413,"4-chōme-31-1 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
DEL style Ikebukuro Higashiguchi by Daiwa Roynet Hotel,03-6811-2880,https://maps.google.com/?cid=18083700517211325424,"1-chōme-20-8 Minamiikebukuro, Toshima City, Tokyo 171-0022, Japan"
Asakusa Tobu Hotel,03-3843-0111,https://maps.google.com/?cid=11890849318197681324,"1-chōme-1-15 Asakusa, Taito City, Tokyo 111-0032, Japan"
THE KANZASHI TOKYO ASAKUSA,03-5830-6151,https://maps.google.com/?cid=17266141858494357130,"2-chōme-27-10 Asakusa, Taito City, Tokyo 111-0032, Japan"
Citadines Shinjuku Tokyo,03-5379-7208,https://maps.google.com/?cid=6165522621038190385,"1-chōme-28-13 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan"
Centurion Hotel Ikebukuro,03-6912-6031,https://maps.google.com/?cid=766085095324520739,"1-chōme-8-9 Higashiikebukuro, Toshima City, Tokyo 170-0013, Japan"
OMO7 Osaka by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=10904178204825139386,"3-chōme-16-30 Ebisunishi, Naniwa Ward, Osaka, 556-0003, Japan"
Hotel Forza Osaka Namba Dotonbori,06-6214-3111,https://maps.google.com/?cid=14190180451886336385,"Japan, 〒542-0071 Osaka, Chuo Ward, Dōtonbori, 1-chōme−4−２２ クロードビル 3F"
THE GATE HOTEL Kaminarimon by HULIC,03-5826-3877,https://maps.google.com/?cid=8590552913475869460,"Japan, 〒111-0034 Tokyo, Taito City, 台東区Kaminarimon, 2-chōme−16−１１ ザ・ゲートホテル"
Shinagawa Prince Hotel,03-3440-1111,https://maps.google.com/?cid=8514892045408078256,"4-chōme-10-30 Takanawa, Minato City, Tokyo 108-8611, Japan"
DEL style @ Shin Umeda by Daiwa Roynet,06-4797-6186,https://maps.google.com/?cid=15512884787276080597,"6-chōme-16-1 Fukushima, Fukushima Ward, Osaka, 553-0003, Japan"
Hotel Sunroute Asakusa,03-3847-1511,https://maps.google.com/?cid=266544274353448728,"Japan, 〒111-0034 Tokyo, Taito City, Kaminarimon, 1-chōme−8−５ ホテルサンルート浅草"
