id,name_en,name_ja,name_kana,category,prefecture,address,Lien google map,city,score
100915,Shin-Kurobe Station,新黒部,,station,Toyama,"Wakaguri, Kurobe, Toyama 938-0802, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ66viTeuu918RZONCFdNconY,Kurobe,10
100917,Shin-Takaoka Station,新高岡,,station,Toyama,"3011 Shimokuroda, Takaoka, Toyama 933-0852, Japan",https://www.google.com/maps/place/?q=place_id:ChIJVTIUNuOC918R3xYj2Cllhak,Takaoka,50
1110101,Hakodate Station,函館,,station,Hokkaido,"12 Wakamatsucho, Hakodate, Hokkaido 040-0063, Japan",https://www.google.com/maps/place/?q=place_id:ChIJWVv9RZ_znl8RCNDfo9l-O1A,Hakodate,80
1110102,Goryōkaku Station,五稜郭,,station,Hokkaido,"64 Kamedahoncho, Hakodate, Hokkaido 041-0813, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ3VyyxRr0nl8RZdVRXC7e0xU,Hakodate,10
1110103,Kikyō Station,桔梗,,station,Hokkaido,"3 Chome-41 Kikyo, Hakodate, Hokkaido 041-0808, Japan",https://www.google.com/maps/place/?q=place_id:ChIJy17fH1X2nl8R-wKRXnnHtDo,Hakodate,10
1110104,Ōnakayama Station,大中山,,station,Hokkaido,"1 Chome-2 Onakayama, Nanae, Kameda District, Hokkaido 041-1121, Japan",https://www.google.com/maps/place/?q=place_id:ChIJGZHxKJb3nl8Ru_sgeTxFi98,Nanae,10
1110105,Nanae Station,七飯,,station,Hokkaido,"1 Chome-1 Honcho, Nanae, Kameda District, Hokkaido 041-1111, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ3XdxhD34nl8RwbC2zzvbsug,Nanae,10
1110106,Shin-Hakodate-Hokuto Station,新函館北斗,,station,Hokkaido,"1-chōme-1-1 Ichinowatari, Hokuto, Hokkaido 041-1242, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ4TOfGvH4nl8R3XQi2hpU-6I,Hokuto,80
1110107,Niyama Station,仁山,,station,Hokkaido,"Niyama, Nanae, Kameda District, Hokkaido 041-1101, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ3b22JLL4nl8REGCWBufC4Wo,Nanae,10
1110108,Ōnuma Station,大沼,,station,Hokkaido,"Onumacho, Nanae, Kameda District, Hokkaido 041-1354, Japan",https://www.google.com/maps/place/?q=place_id:ChIJX3fSB0tUnl8RPFXwvQim1Kk,Nanae,10
